BioProject,Run,Stage exposed,Exposure duration,Photoperiod,Temperature (oC),Sample collection,Replicate,Description,Original publication abbreviation,Condition,Plattaform,Read length,Publication,New abreviation
PRJNA187045,SRR652088,Adult,pupa to egg laying,8L:16D,21,pharate larvae,4,DI-11-day post-oviposition,D_11d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_11d
PRJNA187045,SRR652090,Adult,pupa to egg laying,8L:16D,21,pharate larvae,2,DI-11-day post-oviposition,D_11d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_11d
PRJNA187045,SRR652091,Adult,pupa to egg laying,8L:16D,21,pharate larvae,1,DI-21-day post-oviposition,D_21d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_21d
PRJNA187045,SRR652092,Adult,pupa to egg laying,8L:16D,21,pharate larvae,2,DI-21-day post-oviposition,D_21d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_21d
PRJNA187045,SRR652097,Adult,pupa to egg laying,8L:16D,21,pharate larvae,4,DI-21-day post-oviposition,D_21d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_21d
PRJNA187045,SRR652098,Adult,pupa to egg laying,8L:16D,21,pharate larvae,2,DI-40-day post-oviposition,D_40d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_40d
PRJNA187045,SRR652099,Adult,pupa to egg laying,8L:16D,21,pharate larvae,3,DI-40-day post-oviposition,D_40d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_40d
PRJNA187045,SRR652100,Adult,pupa to egg laying,8L:16D,21,pharate larvae,4,DI-40-day post-oviposition,D_40d,diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",SD_40d
PRJNA187045,SRR652101,Adult,pupa to egg laying,16L:8D,21,pharate larvae,1,ND-11-day post-oviposition,ND_11d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_11d
PRJNA187045,SRR652102,Adult,pupa to egg laying,16L:8D,21,pharate larvae,2,ND-11-day post-oviposition,ND_11d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_11d
PRJNA187045,SRR652103,Adult,pupa to egg laying,16L:8D,21,pharate larvae,4,ND-11-day post-oviposition,ND_11d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_11d
PRJNA187045,SRR652116,Adult,pupa to egg laying,16L:8D,21,pharate larvae,1,ND-21-day post-oviposition,ND_21d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_21d
PRJNA187045,SRR652118,Adult,pupa to egg laying,16L:8D,21,pharate larvae,2,ND-21-day post-oviposition,ND_21d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_21d
PRJNA187045,SRR652119,Adult,pupa to egg laying,16L:8D,21,pharate larvae,3,ND-21-day post-oviposition,ND_21d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_21d
PRJNA187045,SRR652120,Adult,pupa to egg laying,16L:8D,21,pharate larvae,3,ND-40-day post-oviposition,ND_40d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_40d
PRJNA187045,SRR672801,Adult,pupa to egg laying,16L:8D,21,pharate larvae,4,ND-40-day post-oviposition,ND_40d,non-diapause-inducing,Illumina GA IIx,"Paired-end, 100bp","Poelchau et al, 2013b",LD_40d
